Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons
Enabled,"""halal restaurant tokyo""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""小岩 インド料理""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""ハラル 新小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,インド料理 近く,Broad match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,ハラル 近く,Broad match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""カレー 新小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""デリバリー インドカレー 江戸川区""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Not eligible,rarely served
Enabled,"""biryani near me""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""halal biryani tokyo""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""halal delivery tokyo""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""kebab near me""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""ランチ 小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""halal restaurant in edogawa""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Not eligible,rarely served
Enabled,"""ケバブ 小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""カレー 江戸川区""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,halal food near me,Broad match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""ナン 小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,カレー 近く,Broad match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""pakistani restaurant tokyo""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""halal food near me""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""ランチ 新小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""ハラル 小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""halal lunch tokyo""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""新小岩 インド料理""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,[zaiqa restaurant],Exact match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""インド料理 小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""indian food delivery near me""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""インドカレー 小岩""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""indian restaurant edogawa""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
Enabled,"""halal food edogawa""",Phrase match,UZ — Search — Edogawa (Kamiisshiki),Ad group 1,Eligible,
